decade,lg,tp,len_bucket,ocrqa_bucket,n
1760,en,article,<200,>=0.8,18
1760,en,article,400-600,0.7-0.8,8
1760,en,article,<200,NA,205
1760,en,article,600-800,0.7-0.8,15
1760,en,article,<200,0.7-0.8,6
1760,en,article,200-400,>=0.8,24
1760,en,article,400-600,>=0.8,17
1760,en,article,>=800,0.6-0.7,189
1760,en,article,>=800,NA,7
1760,en,article,200-400,0.7-0.8,13
1760,en,ad,>=800,>=0.8,6
1760,en,article,200-400,NA,5
1760,en,article,<200,0.6-0.7,1
1870,NA,ad,200-400,NA,2
1800,fr,article,200-400,0.7-0.8,331
1800,fr,article,600-800,0.7-0.8,42
1810,es,article,200-400,NA,1
1810,en,ad,200-400,0.6-0.7,16
1810,fr,article,>=800,0.7-0.8,2332
1810,es,article,<200,NA,1
1820,en,ad,<200,0.6-0.7,1
1840,en,article,200-400,<0.5,1
1840,fr,article,600-800,>=0.8,6002
1840,en,article,<200,<0.5,1
1850,en,ad,200-400,NA,5
1850,es,article,400-600,NA,1
1850,fr,article,200-400,0.7-0.8,2080
1850,en,ad,400-600,0.7-0.8,4
1850,en,ad,600-800,NA,7
1850,en,ad,400-600,NA,6
1850,en,ad,<200,0.7-0.8,225
1860,en,ad,600-800,>=0.8,56
1860,en,ad,400-600,NA,3
1860,en,ad,400-600,0.7-0.8,3
1820,es,article,>=800,NA,1
1820,la,article,>=800,NA,4
1820,fr,article,600-800,>=0.8,2443
1820,en,article,400-600,<0.5,2
1830,de,article,<200,>=0.8,188
1830,la,article,200-400,NA,2
1890,en,ad,600-800,>=0.8,12
1860,de,article,200-400,0.6-0.7,2795
1860,de,article,200-400,0.5-0.6,1120
1860,de,article,200-400,0.7-0.8,4221
1860,la,article,200-400,NA,5
1830,pt,article,200-400,NA,2
1830,de,article,400-600,>=0.8,202
1840,pt,article,200-400,NA,2
1840,en,article,600-800,<0.5,1
1810,de,article,<200,<0.5,14
1810,de,article,<200,>=0.8,36
1810,de,article,<200,0.7-0.8,31
1880,en,article,600-800,<0.5,1
1840,id,article,200-400,NA,1
1830,fr,article,>=800,0.6-0.7,729
1800,fr,article,>=800,0.6-0.7,135
1800,la,article,<200,NA,1
1800,fr,article,<200,>=0.8,273
1800,fr,article,200-400,>=0.8,476
1800,es,article,>=800,NA,1
1800,cy,article,200-400,NA,2
1800,fr,article,400-600,0.7-0.8,63
1820,en,article,200-400,<0.5,1
1830,fr,article,600-800,0.7-0.8,487
1840,cy,article,>=800,NA,1
1840,it,article,200-400,NA,3
1840,de,article,>=800,<0.5,327
1850,la,article,200-400,NA,1
1860,la,article,>=800,NA,15
1860,en,article,400-600,<0.5,3
1860,pl,article,>=800,NA,1
1850,de,article,<200,0.7-0.8,1200
1850,fr,article,<200,0.6-0.7,261
1860,fr,article,400-600,0.6-0.7,646
1860,fr,article,400-600,0.5-0.6,127
1860,en,ad,200-400,0.7-0.8,98
1860,la,article,400-600,NA,1
1860,en,article,600-800,<0.5,1
1840,NA,ad,400-600,NA,1
1810,NA,ad,<200,NA,4
1810,NA,article,600-800,NA,4
1850,de,article,400-600,0.6-0.7,1508
1870,en,article,400-600,<0.5,2
1880,en,article,400-600,<0.5,2
1890,de,article,<200,0.7-0.8,2681
1820,la,article,600-800,NA,1
1820,fr,article,<200,>=0.8,879
1820,fr,article,400-600,>=0.8,2422
1820,fr,article,>=800,0.6-0.7,576
1860,la,article,<200,NA,2
1840,it,article,>=800,NA,1
1800,fr,article,600-800,>=0.8,238
1800,la,article,>=800,NA,5
1800,fr,article,<200,0.7-0.8,90
1800,en,ad,<200,0.6-0.7,1
1800,fr,article,400-600,>=0.8,281
1800,fr,article,>=800,>=0.8,1813
1820,la,article,<200,NA,1
1810,NA,ad,600-800,NA,1
1810,fr,article,<200,>=0.8,452
1810,fr,article,<200,0.7-0.8,84
1810,en,ad,<200,0.5-0.6,1
1810,en,ad,200-400,0.5-0.6,1
1800,fr,article,>=800,0.7-0.8,1008
1850,cy,article,200-400,NA,4
1900,pl,article,<200,NA,3
1810,la,article,200-400,NA,1
1810,la,article,600-800,NA,1
1880,it,article,<200,NA,4
1880,de,article,<200,0.6-0.7,3811
1890,it,article,<200,NA,10
1840,it,article,600-800,NA,1
1870,la,article,400-600,NA,29
1870,la,article,<200,NA,13
1870,en,article,600-800,<0.5,1
1850,cy,article,400-600,NA,1
1850,en,article,600-800,<0.5,1
1900,en,ad,600-800,NA,2
1900,en,ad,400-600,NA,1
1760,en,article,400-600,NA,2
1760,en,article,>=800,0.5-0.6,8
1760,en,ad,200-400,0.7-0.8,3
1760,la,article,>=800,NA,1
1760,en,ad,>=800,0.6-0.7,1
1760,en,article,600-800,NA,2
1760,en,article,600-800,0.6-0.7,1
1760,en,ad,600-800,>=0.8,2
1760,en,ad,200-400,>=0.8,4
1760,en,ad,>=800,0.7-0.8,4
1760,en,ad,600-800,0.6-0.7,2
1770,en,article,200-400,0.7-0.8,5
1770,en,article,>=800,0.6-0.7,35
1770,en,article,<200,NA,60
1770,en,article,200-400,0.6-0.7,2
1770,en,article,>=800,0.7-0.8,121
1770,en,article,>=800,>=0.8,26
1770,en,article,600-800,0.7-0.8,9
1770,en,article,<200,0.7-0.8,5
1770,en,article,200-400,>=0.8,6
1770,en,article,400-600,0.7-0.8,3
1770,en,article,400-600,0.6-0.7,2
1770,en,ad,200-400,>=0.8,1
1770,en,article,600-800,>=0.8,5
1770,en,article,400-600,>=0.8,5
1770,en,article,>=800,0.5-0.6,1
1770,en,article,<200,>=0.8,1
1780,en,article,>=800,0.7-0.8,44
1780,en,article,200-400,0.7-0.8,1
1780,en,article,200-400,>=0.8,4
1780,en,article,<200,NA,9
1780,en,article,600-800,0.7-0.8,5
1780,en,article,>=800,0.6-0.7,3
1780,en,article,>=800,>=0.8,13
1780,en,article,400-600,0.7-0.8,2
1780,en,ad,200-400,>=0.8,1
1780,en,ad,>=800,>=0.8,2
1780,en,article,600-800,0.6-0.7,2
1790,en,article,>=800,0.7-0.8,2617
1790,en,ad,>=800,>=0.8,6
1790,en,article,>=800,>=0.8,524
1790,en,article,<200,>=0.8,77
1790,en,article,<200,NA,645
1790,en,article,600-800,>=0.8,112
1790,en,article,400-600,0.7-0.8,131
1790,en,article,200-400,>=0.8,138
1790,en,article,400-600,>=0.8,129
1790,en,article,>=800,NA,5
1790,en,ad,>=800,0.7-0.8,56
1790,en,article,>=800,0.6-0.7,555
1790,en,article,600-800,0.7-0.8,137
1790,en,article,<200,0.7-0.8,28
1790,en,article,200-400,0.7-0.8,60
1790,en,article,200-400,NA,17
1790,en,article,200-400,0.6-0.7,13
1790,en,article,400-600,0.6-0.7,20
1790,en,article,>=800,0.5-0.6,15
1790,en,ad,>=800,NA,1
1790,en,article,<200,0.5-0.6,2
1790,en,article,600-800,NA,5
1790,en,article,600-800,0.6-0.7,25
1790,en,ad,600-800,0.6-0.7,2
1790,en,ad,>=800,0.6-0.7,12
1790,en,ad,600-800,0.7-0.8,7
1790,en,ad,400-600,0.7-0.8,3
1790,en,ad,600-800,>=0.8,5
1790,en,article,<200,0.6-0.7,7
1790,en,ad,400-600,>=0.8,12
1790,en,ad,200-400,>=0.8,9
1790,en,ad,<200,>=0.8,2
1790,en,ad,200-400,0.7-0.8,5
1790,en,article,400-600,NA,4
1790,en,article,600-800,0.5-0.6,4
1790,en,ad,<200,0.6-0.7,1
1790,en,article,400-600,0.5-0.6,1
1860,en,ad,<200,>=0.8,147
1820,fr,article,200-400,0.7-0.8,236
1830,en,article,400-600,<0.5,2
1830,de,article,200-400,>=0.8,259
1830,id,article,<200,NA,1
1840,la,article,200-400,NA,7
1890,en,ad,200-400,0.7-0.8,42
1850,en,ad,>=800,<0.5,1
1880,NA,article,<200,NA,1783
1880,NA,ad,<200,NA,1
1880,NA,ad,>=800,NA,1
1880,NA,article,200-400,NA,53
1880,NA,article,>=800,NA,58
1880,NA,article,400-600,NA,32
1860,sv,article,<200,NA,1
1860,ms,article,200-400,NA,1
1830,es,article,200-400,NA,1
1830,en,article,200-400,<0.5,2
1830,pl,article,>=800,NA,1
1880,fr,article,<200,0.6-0.7,1116
1880,nb,article,<200,NA,1
1880,fr,article,<200,0.5-0.6,207
1880,fr,article,<200,0.7-0.8,4741
1900,fr,article,<200,>=0.8,62670
1900,en,ad,>=800,<0.5,1
1870,et,article,<200,NA,1
1870,tl,article,600-800,NA,3
1800,NA,article,<200,NA,1098
1800,NA,article,200-400,NA,28
1800,NA,article,>=800,NA,19
1800,NA,ad,200-400,NA,5
1800,NA,article,400-600,NA,12
1800,NA,article,600-800,NA,10
1800,NA,ad,400-600,NA,2
1800,cy,article,>=800,NA,1
1810,NA,ad,>=800,NA,3
1900,en,ad,600-800,0.7-0.8,2
1870,en,ad,600-800,NA,2
1870,en,ad,600-800,0.7-0.8,1
1870,en,ad,200-400,0.7-0.8,12
1870,en,ad,600-800,0.6-0.7,1
1870,en,ad,400-600,0.6-0.7,2
1870,en,ad,200-400,0.6-0.7,1
1880,en,ad,200-400,0.6-0.7,14
1880,en,ad,<200,0.7-0.8,13
1880,en,ad,400-600,0.7-0.8,13
1880,en,ad,400-600,0.6-0.7,2
1890,en,ad,600-800,NA,1
1890,en,ad,400-600,>=0.8,45
1880,NA,article,600-800,NA,10
1910,fr,article,>=800,>=0.8,1099880
1910,fr,ad,<200,NA,94952
1910,fr,article,400-600,>=0.8,178974
1910,fr,article,600-800,>=0.8,141343
1910,fr,article,<200,>=0.8,99082
1910,fr,article,200-400,>=0.8,213461
1910,fr,article,>=800,0.7-0.8,115827
1910,en,article,>=800,>=0.8,530
1910,fr,article,600-800,0.7-0.8,13524
1910,fr,article,<200,NA,101773
1910,fr,ad,<200,>=0.8,111782
1910,fr,article,200-400,0.7-0.8,21907
1910,fr,ad,>=800,>=0.8,127451
1910,fr,ad,200-400,>=0.8,196995
1910,fr,article,<200,0.7-0.8,14177
1910,fr,ad,200-400,0.7-0.8,55583
1910,fr,ad,<200,0.7-0.8,36634
1910,fr,ad,>=800,0.7-0.8,62161
1910,fr,ad,600-800,0.6-0.7,3995
1910,fr,ad,400-600,>=0.8,93845
1910,fr,ad,600-800,>=0.8,50913
1910,fr,ad,>=800,NA,4006
1910,fr,ad,<200,0.6-0.7,13665
1910,fr,article,<200,0.5-0.6,1458
1910,fr,ad,200-400,NA,7218
1910,fr,ad,>=800,0.6-0.7,19940
1910,fr,article,600-800,0.6-0.7,4297
1910,fr,ad,200-400,0.6-0.7,16556
1910,fr,ad,400-600,0.7-0.8,27154
1910,fr,ad,600-800,0.7-0.8,15011
1910,fr,article,200-400,0.6-0.7,6135
1910,fr,article,>=800,0.6-0.7,33852
1910,fr,article,400-600,0.7-0.8,17119
1910,fr,ad,400-600,0.6-0.7,7272
1910,fr,article,<200,0.6-0.7,4997
1910,fr,ad,<200,<0.5,885
1910,fr,ad,<200,0.5-0.6,3916
1910,fr,article,>=800,NA,15097
1910,fr,article,400-600,0.6-0.7,4887
1910,fr,ad,>=800,0.5-0.6,4097
1910,fr,ad,200-400,0.5-0.6,3111
1910,fr,article,200-400,NA,4004
1910,fr,article,200-400,0.5-0.6,868
1910,fr,article,400-600,NA,2606
1910,fr,article,>=800,0.5-0.6,6623
1910,fr,ad,600-800,0.5-0.6,837
1910,fr,article,600-800,NA,3116
1910,fr,ad,400-600,NA,3145
1910,fr,article,<200,<0.5,185
1910,fr,article,>=800,<0.5,1323
1910,fr,ad,200-400,<0.5,573
1910,fr,article,600-800,0.5-0.6,545
1910,fr,ad,400-600,0.5-0.6,1346
1910,fr,ad,>=800,<0.5,1964
1910,fr,article,400-600,0.5-0.6,650
1910,de,article,<200,0.6-0.7,2767
1910,fr,article,200-400,<0.5,55
1910,fr,article,600-800,<0.5,76
1910,it,article,600-800,NA,80
1910,fr,article,400-600,<0.5,70
1910,en,article,200-400,>=0.8,92
1920,fr,article,<200,>=0.8,130213
1920,fr,article,200-400,0.7-0.8,31617
1920,fr,article,>=800,>=0.8,1337810
1920,fr,article,400-600,>=0.8,263439
1920,fr,ad,<200,>=0.8,146743
1920,fr,ad,<200,NA,131667
1920,fr,article,200-400,>=0.8,315494
1920,fr,article,600-800,>=0.8,199848
1920,fr,article,>=800,0.6-0.7,30797
1920,fr,ad,200-400,0.7-0.8,72624
1920,fr,article,>=800,0.7-0.8,109018
1920,fr,article,<200,NA,176297
1920,fr,ad,200-400,>=0.8,239014
1920,fr,ad,<200,0.6-0.7,20073
1920,fr,ad,400-600,>=0.8,109189
1920,fr,ad,>=800,>=0.8,162475
1920,fr,ad,<200,0.7-0.8,47222
1920,fr,ad,600-800,>=0.8,59297
1920,fr,ad,600-800,0.7-0.8,17147
1920,fr,article,>=800,NA,20860
1920,fr,article,600-800,0.7-0.8,14765
1920,fr,article,400-600,0.6-0.7,5705
1920,fr,article,<200,0.5-0.6,1456
1920,fr,article,>=800,0.5-0.6,6526
1920,fr,article,<200,0.7-0.8,22718
1920,fr,article,400-600,0.7-0.8,20650
1920,fr,article,200-400,0.6-0.7,8177
1920,fr,ad,<200,0.5-0.6,7959
1920,fr,article,<200,0.6-0.7,6769
1920,fr,article,600-800,0.6-0.7,4038
1920,fr,ad,>=800,0.7-0.8,83306
1920,fr,ad,200-400,0.6-0.7,23170
1920,fr,ad,400-600,0.7-0.8,31678
1920,fr,article,400-600,NA,8163
1920,fr,article,200-400,NA,5332
1920,fr,ad,200-400,NA,10794
1920,fr,ad,>=800,0.6-0.7,27747
1920,fr,ad,>=800,0.5-0.6,4604
1920,fr,ad,400-600,0.5-0.6,2610
1920,fr,ad,400-600,0.6-0.7,8847
1920,fr,ad,200-400,0.5-0.6,6911
1920,fr,article,600-800,NA,6982
1920,fr,ad,<200,<0.5,3747
1920,fr,article,400-600,0.5-0.6,793
1920,fr,article,200-400,0.5-0.6,1252
1920,fr,ad,200-400,<0.5,3803
1920,fr,ad,400-600,<0.5,1621
1920,fr,article,>=800,<0.5,5070
1920,fr,article,<200,<0.5,236
1920,fr,ad,600-800,0.6-0.7,4604
1920,fr,ad,600-800,NA,2284
1920,fr,ad,400-600,NA,5057
1810,fr,article,<200,NA,1933
1810,fr,article,<200,0.5-0.6,2
1810,fr,article,600-800,>=0.8,1465
1810,fr,article,200-400,0.6-0.7,150
1810,fr,article,>=800,0.6-0.7,365
1810,fr,article,200-400,0.7-0.8,378
1810,fr,article,400-600,0.6-0.7,183
1810,fr,article,600-800,0.6-0.7,36
1810,fr,ad,<200,0.7-0.8,13
1810,fr,ad,600-800,>=0.8,80
1810,fr,ad,200-400,>=0.8,262
1810,fr,ad,400-600,>=0.8,183
1810,fr,article,600-800,0.7-0.8,238
1810,fr,ad,<200,>=0.8,28
1810,fr,ad,>=800,>=0.8,152
1810,fr,ad,200-400,0.7-0.8,25
1810,fr,ad,>=800,0.7-0.8,21
1810,fr,article,<200,0.6-0.7,22
1810,fr,article,>=800,0.5-0.6,81
1810,fr,article,400-600,0.5-0.6,27
1810,fr,article,200-400,NA,47
1810,fr,article,200-400,0.5-0.6,10
1810,fr,article,<200,<0.5,1
1810,fr,ad,400-600,0.7-0.8,23
1810,fr,article,400-600,<0.5,1
1810,fr,article,>=800,<0.5,10
1810,fr,article,400-600,NA,18
1810,fr,ad,<200,NA,277
1810,fr,ad,>=800,0.6-0.7,1
1810,fr,ad,400-600,0.6-0.7,4
1810,fr,ad,600-800,0.7-0.8,8
1810,fr,article,600-800,0.5-0.6,4
1810,fr,ad,200-400,0.6-0.7,1
1810,fr,article,>=800,NA,11
1810,fr,article,600-800,NA,6
1810,fr,ad,<200,0.6-0.7,1
1820,fr,ad,<200,NA,5163
1820,fr,article,>=800,0.7-0.8,3298
1820,fr,ad,400-600,0.7-0.8,27
1820,fr,article,600-800,0.6-0.7,93
1820,fr,article,400-600,0.6-0.7,183
1820,fr,article,600-800,NA,241
1820,fr,ad,200-400,>=0.8,265
1820,fr,article,<200,NA,3651
1820,fr,ad,400-600,>=0.8,255
1820,fr,article,<200,0.7-0.8,118
1820,fr,ad,>=800,>=0.8,3520
1820,fr,article,>=800,0.5-0.6,118
1820,fr,article,400-600,0.5-0.6,15
1820,fr,ad,<200,0.6-0.7,25
1820,fr,article,600-800,0.7-0.8,329
1820,fr,ad,<200,>=0.8,731
1820,fr,ad,600-800,>=0.8,211
1820,fr,ad,600-800,0.7-0.8,17
1820,fr,article,<200,0.6-0.7,26
1820,fr,article,200-400,NA,77
1820,fr,article,400-600,NA,69
1820,fr,ad,<200,0.5-0.6,6
1820,fr,ad,<200,0.7-0.8,239
1820,fr,article,>=800,<0.5,38
1820,fr,article,200-400,0.6-0.7,97
1820,fr,ad,>=800,0.7-0.8,595
1820,fr,article,200-400,0.5-0.6,9
1820,fr,ad,200-400,0.7-0.8,27
1820,fr,ad,600-800,0.6-0.7,2
1820,fr,article,600-800,0.5-0.6,12
1820,fr,article,>=800,NA,226
1820,fr,article,400-600,<0.5,3
1820,fr,article,600-800,<0.5,2
1820,fr,ad,200-400,0.6-0.7,6
1820,fr,ad,>=800,0.6-0.7,58
1820,fr,ad,>=800,0.5-0.6,5
1820,fr,ad,600-800,NA,1
1820,fr,ad,400-600,0.6-0.7,1
1820,de,ad,>=800,0.5-0.6,19
1820,de,ad,>=800,0.6-0.7,20
1820,fr,ad,200-400,NA,1
1820,fr,ad,>=800,NA,2
1820,de,ad,>=800,<0.5,6
1830,fr,ad,<200,>=0.8,3894
1830,fr,ad,>=800,>=0.8,18142
1830,fr,ad,200-400,>=0.8,3022
1830,fr,ad,>=800,0.7-0.8,2278
1830,fr,ad,600-800,>=0.8,2612
1830,fr,ad,400-600,>=0.8,2805
1830,fr,ad,<200,NA,955
1830,fr,article,>=800,0.5-0.6,163
1830,fr,article,200-400,NA,634
1830,fr,article,400-600,NA,164
1830,fr,ad,>=800,NA,83
1830,fr,ad,<200,0.7-0.8,747
1830,fr,ad,400-600,NA,34
1830,fr,ad,400-600,0.7-0.8,269
1830,fr,ad,200-400,0.7-0.8,345
1830,fr,article,<200,0.7-0.8,210
1830,fr,ad,600-800,0.7-0.8,259
1830,fr,ad,200-400,NA,50
1830,fr,ad,>=800,0.6-0.7,265
1830,fr,article,400-600,0.7-0.8,448
1830,fr,article,<200,0.6-0.7,30
1830,fr,ad,600-800,NA,27
1830,fr,ad,>=800,0.5-0.6,21
1830,fr,ad,<200,0.6-0.7,98
1830,fr,article,600-800,NA,267
1830,fr,article,>=800,NA,765
1830,fr,article,200-400,0.6-0.7,69
1830,fr,ad,400-600,0.6-0.7,38
1830,fr,article,400-600,0.6-0.7,51
1830,fr,article,600-800,0.6-0.7,43
1830,fr,article,>=800,<0.5,33
1830,fr,ad,600-800,0.6-0.7,42
1830,fr,ad,>=800,<0.5,5
1830,fr,ad,200-400,0.6-0.7,42
1830,it,ad,200-400,NA,1
1830,fr,ad,<200,<0.5,3
1830,it,ad,>=800,NA,5
1830,de,ad,600-800,0.6-0.7,1
1830,fr,ad,200-400,0.5-0.6,7
1830,fr,ad,600-800,0.5-0.6,2
1830,fr,ad,200-400,<0.5,1
1830,nl,ad,>=800,NA,1
1830,fr,ad,600-800,<0.5,1
1830,it,ad,400-600,NA,1
1830,de,ad,>=800,<0.5,8
1830,fr,article,200-400,0.5-0.6,6
1830,fr,article,400-600,0.5-0.6,8
1830,fr,article,<200,0.5-0.6,9
1830,de,ad,400-600,0.5-0.6,1
1830,de,ad,>=800,0.6-0.7,16
1830,fr,ad,<200,0.5-0.6,6
1830,fr,ad,400-600,0.5-0.6,3
1840,fr,ad,<200,>=0.8,4037
1840,fr,article,>=800,0.7-0.8,5547
1840,fr,article,<200,NA,7538
1840,fr,ad,>=800,>=0.8,22623
1840,fr,ad,>=800,0.7-0.8,11473
1840,fr,ad,<200,NA,3219
1840,fr,ad,200-400,>=0.8,7418
1840,fr,ad,400-600,>=0.8,6385
1840,fr,ad,600-800,>=0.8,5354
1840,fr,ad,400-600,0.7-0.8,1659
1840,fr,article,>=800,0.6-0.7,1511
1840,fr,ad,600-800,0.7-0.8,1427
1840,fr,ad,>=800,0.6-0.7,2548
1840,fr,ad,200-400,0.7-0.8,2493
1840,fr,article,200-400,0.6-0.7,207
1840,fr,article,<200,0.7-0.8,284
1840,fr,article,400-600,NA,486
1840,fr,article,600-800,NA,157
1840,fr,ad,400-600,0.6-0.7,317
1840,fr,article,400-600,0.7-0.8,755
1840,fr,ad,<200,0.6-0.7,377
1840,fr,ad,200-400,NA,131
1840,fr,ad,<200,0.7-0.8,1131
1840,fr,ad,200-400,0.6-0.7,965
1840,fr,article,>=800,NA,267
1840,fr,article,200-400,0.7-0.8,548
1840,fr,article,200-400,NA,483
1840,fr,article,600-800,0.6-0.7,235
1840,fr,ad,>=800,NA,96
1840,fr,ad,600-800,0.6-0.7,280
1840,fr,article,>=800,0.5-0.6,270
1840,fr,ad,>=800,0.5-0.6,377
1840,fr,article,400-600,0.6-0.7,217
1840,fr,ad,200-400,0.5-0.6,105
1840,fr,ad,400-600,0.5-0.6,27
1840,fr,ad,600-800,0.5-0.6,30
1840,fr,ad,600-800,NA,29
1840,fr,ad,<200,0.5-0.6,117
1840,fr,ad,400-600,NA,31
1840,fr,article,200-400,0.5-0.6,28
1840,fr,article,<200,0.6-0.7,77
1840,lb,article,<200,<0.5,1
1840,en,ad,200-400,0.7-0.8,323
1840,fr,article,600-800,0.5-0.6,30
1840,fr,article,>=800,<0.5,35
1840,fr,ad,>=800,<0.5,74
1840,fr,article,400-600,0.5-0.6,31
1840,fr,ad,200-400,<0.5,6
1840,it,ad,>=800,NA,2
1840,fr,article,<200,0.5-0.6,22
1840,en,ad,<200,0.7-0.8,335
1840,en,ad,<200,0.6-0.7,188
1840,en,ad,<200,0.5-0.6,61
1840,en,ad,<200,<0.5,12
1840,fr,ad,<200,<0.5,20
1840,en,ad,200-400,0.6-0.7,98
1840,lb,ad,<200,0.5-0.6,1
1840,de,ad,600-800,<0.5,27
1840,en,ad,200-400,0.5-0.6,9
1840,fr,article,200-400,<0.5,4
1840,en,ad,200-400,<0.5,3
1840,fr,article,<200,<0.5,4
1840,lb,ad,<200,0.7-0.8,1
1840,pl,ad,>=800,NA,1
1840,fr,article,600-800,<0.5,7
1840,en,ad,400-600,0.5-0.6,1
1840,fr,ad,600-800,<0.5,1
1840,de,ad,>=800,0.5-0.6,27
1850,fr,ad,200-400,0.6-0.7,689
1850,fr,ad,200-400,>=0.8,13702
1850,fr,ad,400-600,>=0.8,10444
1850,fr,ad,600-800,>=0.8,7465
1850,fr,ad,600-800,0.7-0.8,1140
1850,fr,article,>=800,NA,2764
1850,fr,article,<200,NA,12667
1850,fr,ad,>=800,>=0.8,30635
1850,fr,ad,>=800,0.7-0.8,10374
1850,fr,ad,<200,NA,4648
1850,fr,article,>=800,0.6-0.7,4348
1850,fr,ad,<200,>=0.8,6215
1850,en,ad,<200,0.6-0.7,103
1850,fr,ad,400-600,NA,190
1850,fr,ad,200-400,0.5-0.6,133
1850,fr,ad,<200,0.6-0.7,344
1850,fr,article,600-800,0.7-0.8,1425
1850,fr,ad,>=800,0.6-0.7,2742
1850,fr,ad,400-600,0.7-0.8,1930
1850,fr,ad,<200,0.7-0.8,1492
1850,fr,ad,200-400,0.7-0.8,3415
1850,fr,article,600-800,NA,1060
1850,fr,article,400-600,NA,1240
1850,fr,article,600-800,0.6-0.7,468
1850,fr,ad,<200,0.5-0.6,90
1850,fr,article,>=800,0.5-0.6,1447
1850,fr,ad,>=800,0.5-0.6,1129
1850,fr,ad,600-800,0.6-0.7,292
1850,fr,article,400-600,0.6-0.7,485
1850,fr,ad,>=800,<0.5,446
1850,fr,article,<200,0.7-0.8,792
1850,fr,article,200-400,NA,1292
1850,fr,ad,200-400,NA,169
1850,fr,article,>=800,<0.5,1911
1850,fr,ad,>=800,NA,484
1850,fr,ad,600-800,NA,248
1850,en,ad,<200,0.5-0.6,12
1850,fr,article,200-400,0.6-0.7,569
1850,fr,ad,<200,<0.5,17
1850,fr,ad,400-600,0.6-0.7,337
1850,fr,ad,400-600,0.5-0.6,44
1850,en,ad,<200,<0.5,1
1850,fr,article,200-400,0.5-0.6,184
1850,de,ad,>=800,<0.5,1974
1850,lb,ad,<200,0.7-0.8,1
1850,fr,article,400-600,0.5-0.6,169
1850,it,ad,>=800,NA,5
1850,fr,ad,600-800,0.5-0.6,70
1850,fr,ad,400-600,<0.5,31
1850,en,ad,200-400,0.5-0.6,1
1850,fr,article,600-800,0.5-0.6,104
1850,fr,article,<200,0.5-0.6,92
1850,fr,article,400-600,<0.5,77
1850,de,article,200-400,0.5-0.6,1110
1850,de,ad,600-800,0.5-0.6,60
1850,lb,ad,<200,0.5-0.6,1
1850,fr,ad,600-800,<0.5,57
1850,fr,ad,200-400,<0.5,71
1860,fr,article,<200,NA,24816
1860,fr,ad,<200,>=0.8,9793
1860,fr,ad,200-400,>=0.8,23279
1860,fr,ad,200-400,0.7-0.8,2872
1860,fr,article,>=800,0.6-0.7,6986
1860,fr,ad,>=800,>=0.8,30936
1860,fr,article,>=800,NA,6904
1860,fr,ad,200-400,0.6-0.7,658
1860,fr,ad,600-800,>=0.8,10865
1860,fr,ad,600-800,0.7-0.8,1253
1860,fr,article,200-400,NA,1000
1860,fr,ad,<200,0.7-0.8,1542
1860,fr,ad,<200,NA,5967
1860,fr,ad,>=800,0.7-0.8,11516
1860,fr,ad,>=800,0.6-0.7,4876
1860,fr,ad,400-600,>=0.8,17718
1860,fr,ad,400-600,0.7-0.8,1901
1860,fr,ad,>=800,NA,923
1860,fr,article,600-800,0.6-0.7,671
1860,fr,ad,<200,0.6-0.7,362
1860,fr,ad,400-600,NA,597
1860,en,ad,<200,0.7-0.8,51
1860,fr,ad,200-400,NA,509
1860,fr,ad,200-400,0.5-0.6,125
1860,fr,article,>=800,0.5-0.6,2356
1860,fr,ad,400-600,0.6-0.7,404
1860,fr,ad,600-800,0.6-0.7,324
1860,en,ad,200-400,0.6-0.7,26
1860,fr,ad,>=800,0.5-0.6,1718
1860,fr,ad,<200,<0.5,33
1860,fr,article,600-800,0.5-0.6,147
1860,fr,ad,200-400,<0.5,39
1860,fr,ad,400-600,0.5-0.6,93
1860,fr,article,600-800,NA,697
1860,fr,ad,<200,0.5-0.6,86
1860,fr,article,400-600,NA,1164
1860,fr,article,<200,0.6-0.7,471
1860,fr,ad,600-800,NA,150
1860,fr,article,>=800,<0.5,1212
1860,en,ad,200-400,0.5-0.6,1
1860,fr,ad,>=800,<0.5,622
1860,de,article,<200,<0.5,604
1860,fr,ad,600-800,<0.5,41
1860,fr,article,<200,0.5-0.6,162
1860,fr,ad,600-800,0.5-0.6,106
1860,en,ad,<200,0.6-0.7,7
1860,fr,article,200-400,0.5-0.6,161
1860,lb,ad,200-400,<0.5,2
1860,lb,ad,<200,0.5-0.6,4
1870,fr,article,<200,NA,29759
1870,fr,ad,200-400,0.6-0.7,1434
1870,fr,ad,400-600,0.7-0.8,3191
1870,fr,article,>=800,NA,10815
1870,fr,article,>=800,0.6-0.7,9335
1870,fr,ad,600-800,>=0.8,17129
1870,fr,ad,>=800,>=0.8,40221
1870,fr,ad,>=800,0.7-0.8,15433
1870,fr,ad,>=800,0.5-0.6,2770
1870,fr,ad,600-800,0.7-0.8,2942
1870,fr,ad,<200,NA,8511
1870,fr,article,>=800,0.5-0.6,3495
1870,fr,ad,>=800,0.6-0.7,5902
1870,fr,ad,400-600,NA,762
1870,fr,ad,400-600,0.6-0.7,910
1870,fr,ad,600-800,0.6-0.7,743
1870,fr,ad,400-600,>=0.8,31556
1870,fr,ad,200-400,>=0.8,55370
1870,fr,ad,200-400,0.7-0.8,5673
1870,fr,ad,<200,>=0.8,22904
1870,fr,article,400-600,NA,3382
1870,fr,ad,<200,0.7-0.8,2730
